,Movie,Release Year,Certification,Duration,Genre,Imdb,Metascore,Votes
107, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",9.1,Not Available,"11,989"
108,The Big Bull,(2021),Not Available,153 min,"Biography, Crime, Drama",6.1,Not Available,"11,613"
109,Dota: Dragon's Blood,(2021– ),TV-MA,25 min,"Animation, Action, Adventure",8.1,Not Available,"11,443"
110, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",9.2,Not Available,"11,419"
111, The Falcon and the Winter Soldier,(2021),TV-14,49 min,"Action, Adventure, Drama",7.8,Not Available,"11,380"
112, The Falcon and the Winter Soldier,(2021),TV-14,57 min,"Action, Adventure, Drama",8.0,Not Available,"11,237"
113, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",9.7,Not Available,"11,209"
114,Red Dot,(2021),TV-MA,86 min,"Drama, Horror, Thriller",5.5,Not Available,"11,187"
115,The One,(2021– ),TV-MA,Not Available,"Crime, Drama, Sci-Fi",6.6,Not Available,"10,470"
116,Deadly Illusions,(2021),R,114 min,"Drama, Thriller",3.7,Not Available,"10,267"
117,Star Wars: The Bad Batch,(2021– ),TV-PG,Not Available,"Animation, Action, Adventure",8.4,Not Available,"10,234"
118,The Unholy,(2021),PG-13,99 min,"Drama, Horror, Mystery",5.0,36,"10,187"
119,Vakeel Saab,(2021),TV-14,153 min,"Action, Crime, Drama",7.9,Not Available,"10,119"
120,Paper Lives,(2021),TV-MA,96 min,Drama,6.7,Not Available,"9,856"
121,Who Killed Sara?,(2021– ),TV-MA,Not Available,"Crime, Drama, Mystery",6.4,Not Available,"9,815"
122,Tribes of Europa,(2021– ),TV-MA,Not Available,"Action, Adventure, Drama",6.8,Not Available,"9,657"
123, Loki,(2021– ),TV-14,42 min,"Action, Adventure, Fantasy",7.9,Not Available,"9,653"
124,The United States vs. Billie Holiday,(2021),R,126 min,"Biography, Drama, Music",6.3,52,"9,630"
125,Clarkson's Farm,(2021– ),TV-PG,45 min,Documentary,9.3,Not Available,"9,603"
126,Stuck Apart,(2021),TV-MA,96 min,"Comedy, Drama",6.1,Not Available,"9,362"
127,Harga,(2021– ),Not Available,Not Available,Drama,9.7,Not Available,"9,308"
128,Iste Bu Benim Masalim,(2021),Not Available,40 min,"Musical, Romance",1.5,Not Available,"9,221"
129,Halston,(2021),TV-MA,240 min,"Biography, Drama",7.5,Not Available,"9,140"
130,Voyagers,(2021),PG-13,108 min,"Adventure, Sci-Fi, Thriller",5.4,44,"8,895"
131,The Vault,(2021),R,118 min,"Action, Adventure, Thriller",6.4,50,"8,747"
132,Jagame Thandhiram,(2021),TV-MA,158 min,"Action, Crime, Drama",6.2,Not Available,"8,426"
133,Locked Down,(I) (2021),R,118 min,"Comedy, Crime, Romance",5.2,42,"8,395"
134,Wish Dragon,(2021),PG,98 min,"Animation, Adventure, Comedy",7.2,60,"8,365"
135,Barb and Star Go to Vista Del Mar,(2021),PG-13,107 min,Comedy,6.4,64,"8,352"
136, The Walking Dead,(2010–2022),TV-MA,50 min,"Drama, Horror, Thriller",9.3,Not Available,"7,968"
137,Finding 'Ohana,(2021),PG,123 min,"Action, Adventure, Comedy",6.1,69,"7,874"
138,The Married Woman,(2021– ),Not Available,30 min,"Drama, Romance",9.4,Not Available,"7,544"
139,Mumbai Saga,(2021),Not Available,135 min,"Action, Crime",6.1,Not Available,"7,377"
140,The Girl on the Train,(2021),TV-MA,120 min,"Crime, Drama, Mystery",4.4,Not Available,"7,353"
141,Ferry,(2021),TV-MA,106 min,"Action, Crime, Drama",7.0,Not Available,"7,318"
142,The Equalizer,(2021– ),TV-14,Not Available,"Action, Crime, Drama",4.8,Not Available,"7,195"
143,Pagglait,(2021),TV-14,114 min,"Comedy, Drama",6.9,Not Available,"7,173"
144," Love, Death & Robots",(2019– ),TV-MA,18 min,"Animation, Short, Comedy",8.1,Not Available,"7,134"
145, Invincible,(2021– ),TV-MA,45 min,"Animation, Action, Adventure",9.7,Not Available,"7,061"
146,Time,(2021– ),Not Available,59 min,"Crime, Drama",8.5,Not Available,"6,953"
147, Aspirants,(2021– ),Not Available,46 min,Drama,9.6,Not Available,"6,878"
148,Kaagaz,(2021),Not Available,109 min,"Biography, Comedy, Drama",7.5,Not Available,"6,832"
149,Sandeep Aur Pinky Faraar,(2021),Not Available,125 min,"Comedy, Crime, Drama",6.3,Not Available,"6,774"
150,Cosmic Sin,(2021),R,88 min,"Action, Adventure, Sci-Fi",2.5,9,"6,756"
151, Invincible,(2021– ),TV-MA,48 min,"Animation, Action, Adventure",9.6,Not Available,"6,689"
152,Vincenzo,(2021– ),Not Rated,80 min,"Comedy, Crime, Romance",8.6,Not Available,"6,651"
153," Love, Death & Robots",(2019– ),TV-MA,12 min,"Animation, Short, Comedy",6.5,Not Available,"6,631"
154,Sentinelle,(2021),TV-MA,80 min,"Action, Crime, Drama",4.7,Not Available,"6,628"
155,Debris,(2021),TV-PG,Not Available,"Drama, Mystery, Sci-Fi",6.5,Not Available,"6,498"
156,Roohi,(2021),Not Available,134 min,"Comedy, Horror",4.3,Not Available,"6,490"
157,Operation Varsity Blues,(2021),R,99 min,"Documentary, Crime, Drama",7.0,70,"6,465"
